None,HM Women Black & Beige Sandals,http://www.myntra.com/Heels/HM/HM-Women-Black-&-Beige-Sandals/168912/buy,Rs. 799,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Heels_14bbe6994cc731d5d6c00ca80abe37fa_images_1080_1440_mini.jpg,Rs. 1,399,None,women,http://www.myntra.com/Heels/HM/HM-Women-Black-&-Beige-Sandals/168912/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This sandals from HM will add style to your ensemble. The low wedge heel can be paired with ethno-Western outfits or casuals.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black and beige sandals with slip-on styling<br/>Synthetic thong style upper with braided detail<br/>Soft footbed with branding at the heel<br/>Tough outsole with wedge heels and textured heel caps<br/>Warranty: 60 days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2"</p></li></ul>,25:02:2014,None
None,HM Women Grey Sandals,http://www.myntra.com/Heels/HM/HM-Women-Grey-Sandals/148360/buy,Rs. 1,099,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Heels_0894563bda486478c485bd3ab079e658_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/HM/HM-Women-Grey-Sandals/148360/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Slip into these lovely HM sandals and walk tall in style. They're built for comfort and look great as an added bonus - a combo we just love!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, grey and brown sandals with thong straps forming an ankle strap, elasticated gusset at the ankle for a snug fit<br/> Textured, padded footbed with branding at the heel<br/> Textured outsole with a wedge heel<br/>Warranty: 60 days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2"</p></li></ul>,25:02:2014,None
None,HM Women Maroon Sandals,http://www.myntra.com/Heels/HM/HM-Women-Maroon-Sandals/168915/buy,Rs. 799,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Heels_ebe6a358d0af90a1aa45a75d807ff253_images_1080_1440_mini.jpg,Rs. 1,399,None,women,http://www.myntra.com/Heels/HM/HM-Women-Maroon-Sandals/168915/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair from HM is ideal for a day out. Pair this low wedge heel sandals with ethno-Western outfits and notch up the style quotient of your ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, maroon sandals with red and light brown accents, has slip-on styling<br/>Synthetic thong style upper with braided detail<br/>Soft footbed with branding at the heel<br/>Tough outsole with a wedge heel, textured at the sides<br/>Warranty: 60 days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2"</p></li></ul>,25:02:2014,None
None,HM Women Brown Sandals,http://www.myntra.com/Heels/HM/HM-Women-Brown-Sandals/148359/buy,Rs. 1,099,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Heels_41c566a952694d7378253007fa13ba38_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/HM/HM-Women-Brown-Sandals/148359/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Slip into these lovely HM sandals and walk tall in style. They're built for comfort and look great as an added bonus - a combo we just love!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, brown and black sandals with thong straps forming an ankle strap, elasticated gusset at the ankle for a snug fit<br/> Textured, padded footbed with branding at the heel<br/> Textured outsole with a wedge heel<br/>Warranty: 60 days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2"</p></li></ul>,25:02:2014,None
None,HM Women Brown Sandals,http://www.myntra.com/Heels/HM/HM-Women-Brown-Sandals/148363/buy,Rs. 799,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Heels_7b7a939345c4d19197f20e2762ca971d_images_1080_1440_mini.jpg,Rs. 1,299,None,women,http://www.myntra.com/Heels/HM/HM-Women-Brown-Sandals/148363/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>All season wedges get a hot update in this HM pair. This piece is our all new fashion crush with its simplistic design and oodles of style - snag a pair before we run out of stock.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, brown sandals with slip-on styling<br/>Has a mesh toe holder and a broad midfoot strap<br/>Soft, textured footbed with branding at the heel<br/>Tough outsole with a wedge heel<br/>Warranty: 60 days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5''</p></li></ul>,25:02:2014,None
None,HM Women Purple Sandals,http://www.myntra.com/Heels/HM/HM-Women-Purple-Sandals/168914/buy,Rs. 799,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Heels_820665c6f783f961bb8177c7f9654255_images_1080_1440_mini.jpg,Rs. 1,399,None,women,http://www.myntra.com/Heels/HM/HM-Women-Purple-Sandals/168914/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This pair from HM is ideal for a day out. Pair this low wedge heel sandals with ethno-Western outfits and notch up the style quotient of your ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, purple sandals with slip-on styling<br/>Synthetic thong style upper with braided detail<br/>Soft footbed with branding at the heel<br/>Tough outsole with a wedge heel and a textured heel cap<br/>Warranty: 60 days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2"</p></li></ul>,25:02:2014,None
None,HM Women Black Sandals,http://www.myntra.com/Heels/HM/HM-Women-Black-Sandals/65439/buy,Rs. 1,199,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Black-Sandals_558854bf03f1c70edb91c2b7dc425c75_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/HM/HM-Women-Black-Sandals/65439/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A girl can never have enough shoes. That's why HM helps you out with this pair that looks great and won't pinch your pocket! An excuse to buy more shoes? We're giving you one!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Bright coloured criss-crossing forefoot straps (knotted at the centre)<br/> Wood-style wedge heeling<br/> Tough, textured sole with an upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean cloth to remove dust</p></li></ul>,25:02:2014,None
None,HM Women Black Wedge Sandals,http://www.myntra.com/Heels/HM/HM-Women-Black-Wedge-Sandals/148362/buy,Rs. 799,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Heels_ebf8d73b8c7f0dfaced7312fbe07130d_images_1080_1440_mini.jpg,Rs. 1,299,None,women,http://www.myntra.com/Heels/HM/HM-Women-Black-Wedge-Sandals/148362/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A girl can never have enough shoes. That's why HM helps you out with this pair that looks great and won't pinch your pocket! An excuse to buy more shoes? We're giving you one!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black sandals with a toe holder<br/>Strap at the midfoot region with mesh detailing<br/>Soft footbed with branding at the heel<br/>Tough outsole with wedge heels and heel caps<br/>60 Days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3.5''</p></li></ul>,25:02:2014,None
None,HM Women Red Sandals,http://www.myntra.com/Heels/HM/HM-Women-Red-Sandals/168911/buy,Rs. 799,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Heels_dad4c3b1ed96d336f2c350a748f1f52e_images_1080_1440_mini.jpg,Rs. 1,399,None,women,http://www.myntra.com/Heels/HM/HM-Women-Red-Sandals/168911/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7', '8'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We love this pair for its simple design and multi-coloured accents. Crafted from sturdy material, it is high on comfort and will add a sophisticated look when styled with cropped pants and a top.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, red sandals with a buckle closure<br/>Synthetic upper, has forefoot and midfoot straps with multi-coloured striped accents connected by a vertical tab that has embellishments and a backfoot strap with a buckle closure<br/>Smooth and comfortable footbed with a brand patch at the heel<br/>Tough and textured outsole with a wedge heel<br/>Warranty: 60 days against manufacturing defects only (not valid on products under discount or promotional offer)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3"</p></li></ul>,25:02:2014,None
None,HM Women Brown Wedge Sandals,http://www.myntra.com/Heels/HM/HM-Women-Brown-Wedge-Sandals/148361/buy,Rs. 799,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Heels_8de194bff42973dbef5c645e3ab1616c_images_1080_1440_mini.jpg,Rs. 1,299,None,women,http://www.myntra.com/Heels/HM/HM-Women-Brown-Wedge-Sandals/148361/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A girl can never have enough shoes. That's why HM helps you out with this pair that looks great and won't pinch your pocket! An excuse to buy more shoes? We're giving you one!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, brown sandals with a toe holder<br/>Strap at the midfoot region with mesh detailing<br/>Soft footbed with branding at the heel<br/>Tough outsole with wedge heels and heel caps<br/>60 Days against manufacturing defects only (not valid on any discounted merchandise or any other promotional offers)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3.5''</p></li></ul>,25:02:2014,None
None,HM Women Black Sandals,http://www.myntra.com/Heels/HM/HM-Women-Black-Sandals/65425/buy,Rs. 999,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Black-Sandals_1c0d8261456f74451c2b9e1e994d6f7e_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/HM/HM-Women-Black-Sandals/65425/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>All-season heels get a hot update in this HM pair. This piece is our all new fashion crush with its simplistic design and oodles of style - snag a pair before we run out of stock!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black with white and blue thong style strap culminating at midfoot, elasticated ankle loop<br/>Soft footbed with a brand label at the heel<br/>Wedge heel, TPR outsole with grooves</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean cloth to remove dust</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel: 2"</p></li></ul>,25:02:2014,None
None,HM Women Red Sandals,http://www.myntra.com/Heels/HM/HM-Women-Red-Sandals/65440/buy,Rs. 1,199,women-sandals-wedges,Wedges,HM,http://myntra.myntassets.com/images/style/properties/HM-Women-Red-Sandals_c62c4e1c9f22bf45e205e1ef2b905b9c_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/HM/HM-Women-Red-Sandals/65440/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['5', '6', '7', '8', '9', '10'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>We've been crushing on this pair of sandals from HM - the contemporary styling and the all-day comfort it affords ensure you'll love it too!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Bright coloured criss-crossing forefoot straps (knotted at the centre)<br/> Wood-style wedge heeling<br/> Tough, textured sole with an upraised heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/> Wipe with a clean cloth to remove dust</p></li></ul>,25:02:2014,None
