None,Fastrack Men Black Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/160505/buy,Rs. 2,095,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Watches_cbf005f46c9bca729c99366095f24784_images_1080_1440_mini.JPG,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/160505/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p><span class="GingerNoCheckStart"> </span>Crafted in a cool menswear-inspired shape, this <span class="GINGER_SOFATWARE_mark" id="f0a8efaf-21a6-40c3-b633-f0716a9fb241">Fastrack's</span> watch has been an ever-chic timepiece. We love the classic look borrowed  from the boy's appeal. Wear it solo to add a touch of the label's  inimitable androgyny trend to every look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch, stainless steel circular case, has a fixed bezel with markings<br/>Dial style: Black, textured dial with and silver toned accents, silver toned markings, steel toned and blue hands and multiple branding on the dial<br/>Features: Screw to reset the time<br/>Strap style: Steel toned, metal strap with fold-over clasp closure<br/>Water resistance up to 50 m<br/>Warranty: 2 years warranty on mechanism only (1 year on battery), 1 year on metal strap (manufacturing defects only)</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p><span class="GingerNoCheckStart"> </span>Dial width: 42 mm<br/>Strap width: 23 mm</p></li></ul>,25:02:2014,None
None,Fastrack Men Black Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/160513/buy,Rs. 1,995,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Watches_e720dc40383d00a1e6b6d3ca709905bc_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/160513/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted in a cool menswear-inspired shape, this watch from Fastrack has been an ever-chic timepiece. We love the classic look borrowed from the boy's appeal. Wear it solo to add a touch of the label's inimitable androgyny trend to every look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch, stainless steel rectangular case<br/>Dial style: Black dial, white and yellow markings, grey and white hands and branding on the dial<br/>Features: Screw to reset time<br/>Strap style: Brown leather strap with stitched detail, has an adjustable tang closure and loops to hold the strap in place<br/>Water resistance up to 50 m<br/>Warranty:  2 years warranty on mechanism only (1 year on battery), 1 year on metal strap (manufacturing defects only)</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><br/></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 35 mm x 45 mm<br/>Strap width: 24 mm</p></li></ul>,25:02:2014,None
None,Fastrack Men Blue Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Blue-Dial-Watch/160518/buy,Rs. 1,895,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Blue-Dial-Watch_d4e325a1c2e918959e6dc401e83a8c00_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Blue-Dial-Watch/160518/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted in a cool menswear-inspired shape, this Fastrack watch is an ever-chic timepiece. We love the classic look borrowed from the boy's appeal. Wear it solo to add a touch of the label's inimitable androgyny trend to every look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch, stylised rectangular stainless steel case<br/>Dial style: Blue dial, blue coloured seconds hand, white coloured hour and minute hands with black accents, white markings and branding on the dial<br/>Features: Screw to reset the time<br/>Strap style: Blue, synthetic strap with an adjustable tang clasp and loops to hold the tail in place<br/>Water resistance up to 50 m<br/>Warranty: 2 years from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 45 mm x 35 mm<br/>Strap width: 21 mm</p></li></ul>,25:02:2014,None
None,Fastrack Men Steel toned Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Steel-toned-Dial-Watch/160512/buy,Rs. 1,995,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Watches_c0d4750071f3a5834dbe05dc5b3cc9d1_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Steel-toned-Dial-Watch/160512/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p><span class="GingerNoCheckStart"> </span>Crafted in a cool menswear-inspired shape, this <span class="GINGER_SOFATWARE_mark" id="f0a8efaf-21a6-40c3-b633-f0716a9fb241">Fastrack's</span> watch is an ever-chic timepiece. We love the classic look borrowed  from the boy's appeal. Wear it solo to add a touch of the label's  inimitable androgyny trend to every look.</p><p> </p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><span class="GingerNoCheckStart"> </span>Case style: Analogue watch, stainless steel rectangular case, has a fixed bezel with markings<br/>Dial  <span class="GINGER_SOFATWARE_mark" id="06f25315-ed2f-4942-9893-25e9b37f453d"><span class="GINGER_SOFATWARE_mark" id="3546b5c7-8dd3-4f4e-b7ce-3194cd52d5aa">style</span></span>: Steel toned dial, black and <span class="GINGER_SOFATWARE_mark" id="a0a1a65d-9088-45a4-aa2c-f50f99ed0507">yelow</span> markings, <span class="GINGER_SOFATWARE_mark" id="92f640f8-c2cd-4af9-8c55-08dabee91400">steel toned and yellow</span> hands and branding on the dial<br/>Features: Screw to reset <span class="GINGER_SOFATWARE_mark" id="40ddbed5-7519-45e6-a92f-6a0e85d15410"><span class="GINGER_SOFATWARE_mark" id="c034766e-e1e8-435c-bd9e-986c51af5783"><span class="GINGER_SOFATWARE_mark" id="757c69bb-53d5-4d17-bd2e-4d91df1a9ae4"><span class="GINGER_SOFATWARE_mark" id="2c518f44-a6ae-4566-a2f3-34173dd3ffb9"><span class="GINGER_SOFATWARE_mark" id="35e67d59-e407-499f-a6fa-32efbffaedbe"><span class="GINGER_SOFATWARE_mark" id="edb2451b-25ff-4fb1-881f-881421f2dfb1">time</span></span></span></span></span></span><br/>Strap style: Brown leather strap with stitched detail, has an adjustable tang closure and loops to hold the strap in place<br/>Water resistance up to 50 m<br/>Warranty:  2 <span class="GINGER_SOFATWARE_mark" id="2a17fc7f-6612-483a-aac0-054b52fc6c96"><span class="GINGER_SOFATWARE_mark" id="9f4cc3e8-58a0-4c00-b046-6e79f4a1ae61"><span class="GINGER_SOFATWARE_mark" id="bbee7584-dbd5-43ed-b99e-76ba99e217ff"><span class="GINGER_SOFATWARE_mark" id="c4389d87-d00b-4625-90d4-4cb46c94426e"><span class="GINGER_SOFATWARE_mark" id="e55c2fb2-0338-441e-8b58-78b282d46c74">years</span></span></span></span></span> warranty on mechanism only (1 year on battery), 1 year on metal strap (manufacturing defects only)</p><p> </p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p><span class="GingerNoCheckStart"> </span>Dial dimensions: 35 mm x 45 mm<br/>Strap width: 24 mm</p><p> </p></li></ul>,25:02:2014,None
None,Fastrack Men Off-White Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Off-White-Dial-Watch/202438/buy,Rs. 2,995,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Off-White-Watch_9ad0741bba5b80c55a062afb67685768_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Off-White-Dial-Watch/202438/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Fastrack watches embody the psyche of the youth. Stand out from the crowd with this statement piece. The watch is an on-trend accessory that will grab all the attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with a stainless steel circular case<br/>Dial style: Off-white dial with black hour and minute hands, black hour marks, has branding at the 6 hour mark<br/>Features: Screw to reset time<br/>Strap style: Stainless steel strap with a fold-over clasp closure<br/>Water  resistant up to 50 m<br/>Warranty: 2 year warranty on mechanism only, 1 year warranty on battery and metal strap (manufacturing defects only)</p> <br/><div id="_mcePaste" style="position: absolute; left: -10000px; top: 0px; width: 1px; height: 1px; overflow: hidden;"> Warranty: 2 year warranty on mechanism only</div> <br/><div id="_mcePaste" style="position: absolute; left: -10000px; top: 0px; width: 1px; height: 1px; overflow: hidden;">1 year warranty on battery and metal strap (manufacturing defects onlWarranty: 2 year warranty on mechanism only1 year warranty on battery and metal strap (manufacturing defects only)</div></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 40 mm<br/>Strap width: 24 mm</p></li></ul>,25:02:2014,None
None,Fastrack Men Silver Toned Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Silver-Toned-Dial-Watch/155955/buy,Rs. 3,495,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Silver-Toned-Dial-Watch_8942eb856608d6ea6a0dfd266a340d25_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Silver-Toned-Dial-Watch/155955/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This chunky, bold watch from Fastrack has a mid sized case which fits your wrist perfectly. Paired with a brown leather strap, the overall look works well with any ensemble.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with black circular case, has a fixed bezel with markings and stainless steel back<br/>Dial style: Silver toned dial, with black markings, steel toned hour and minute hands with grey inlay and black seconds hand, branding at the 12 hour mark<br/>Features: Screw to reset the time, two face chronograph displays<br/>Strap style: Brown textured leather strap, with stitched detail and secured by a tang clasp and loops<br/>Water resistant up to 50 m<br/>Comes in a signature Fastrack case<br/>Warranty: 2 years from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 40 mm<br/>Strap width: 25 mm</p></li></ul>,25:02:2014,None
None,Fastrack Men Black Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/160517/buy,Rs. 1,895,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Watches_69af691d0ab4437bec39f6e2fadee17f_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/160517/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p><span class="GingerNoCheckStart"> </span>Crafted in a cool menswear-inspired shape, this <span class="GINGER_SOFATWARE_mark" id="f0a8efaf-21a6-40c3-b633-f0716a9fb241">Fastrack's</span> watch is an ever-chic timepiece. We love the classic look borrowed  from the boy's appeal. Wear it solo to add a touch of the label's  inimitable androgyny trend to every look.</p><p> </p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><span class="GingerNoCheckStart"> </span>Case style: Analogue watch, stainless steel rectangular case, has a fixed bezel with markings<br/>Dial  <span class="GINGER_SOFATWARE_mark" id="06f25315-ed2f-4942-9893-25e9b37f453d"><span class="GINGER_SOFATWARE_mark" id="3546b5c7-8dd3-4f4e-b7ce-3194cd52d5aa">style</span></span>: Black dial with textured, <span class="GINGER_SOFATWARE_mark" id="869c802d-9038-4b1b-8911-ca03ecf4983a">grey</span> and yellow accents, white and yellow markings, <span class="GINGER_SOFATWARE_mark" id="92f640f8-c2cd-4af9-8c55-08dabee91400">grey</span> hands with white accents and branding on the dial<br/>Features: Screw to reset <span class="GINGER_SOFATWARE_mark" id="40ddbed5-7519-45e6-a92f-6a0e85d15410"><span class="GINGER_SOFATWARE_mark" id="c034766e-e1e8-435c-bd9e-986c51af5783"><span class="GINGER_SOFATWARE_mark" id="757c69bb-53d5-4d17-bd2e-4d91df1a9ae4"><span class="GINGER_SOFATWARE_mark" id="2c518f44-a6ae-4566-a2f3-34173dd3ffb9"><span class="GINGER_SOFATWARE_mark" id="a95aa5b1-df22-49b6-bd07-3ea73523a7cc"><span class="GINGER_SOFATWARE_mark" id="fd4a2747-f435-4543-8e3e-dc4495f77c8e">time</span></span></span></span></span></span><br/>Strap style: Black strap, has an adjustable tang closure and loops to hold the strap in place<br/>Water resistance up to 50 m<br/>Warranty:  2 <span class="GINGER_SOFATWARE_mark" id="2a17fc7f-6612-483a-aac0-054b52fc6c96"><span class="GINGER_SOFATWARE_mark" id="9f4cc3e8-58a0-4c00-b046-6e79f4a1ae61"><span class="GINGER_SOFATWARE_mark" id="bbee7584-dbd5-43ed-b99e-76ba99e217ff"><span class="GINGER_SOFATWARE_mark" id="70105324-3953-4ea6-bd38-9880991f5138"><span class="GINGER_SOFATWARE_mark" id="4230bffc-706c-42c3-bdaa-7fc367d5612e">years</span></span></span></span></span> warranty on mechanism only (1 year on battery), 1 year on metal strap (manufacturing defects only)</p> <br/><p> </p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p><span class="GingerNoCheckStart"> </span>Dial dimensions: 35 mm x 45 mm<br/>Strap width: 24 mm</p><p> </p></li></ul>,25:02:2014,None
None,Fastrack Men Blue Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Blue-Dial-Watch/160514/buy,Rs. 1,995,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Watches_eaf20e620a368aeb44db9fcafa77755b_images_1080_1440_mini.JPG,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Blue-Dial-Watch/160514/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p><span class="GingerNoCheckStart"> </span>Crafted in a cool menswear-inspired shape, this <span class="GINGER_SOFATWARE_mark" id="f0a8efaf-21a6-40c3-b633-f0716a9fb241">Fastrack's</span> watch is an ever-chic timepiece. We love the classic look borrowed  from the boy's appeal. Wear it solo to add a touch of the label's  inimitable androgyny trend to every look.</p><p> </p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p><span class="GingerNoCheckStart"> </span>Case style: Analogue watch, stainless steel rectangular case, has a fixed bezel with markings<br/>Dial  <span class="GINGER_SOFATWARE_mark" id="06f25315-ed2f-4942-9893-25e9b37f453d"><span class="GINGER_SOFATWARE_mark" id="3546b5c7-8dd3-4f4e-b7ce-3194cd52d5aa">style</span></span>: Blue dial, white markings, <span class="GINGER_SOFATWARE_mark" id="92f640f8-c2cd-4af9-8c55-08dabee91400">black</span> hands with white accents and branding on the dial<br/>Features: Screw to reset <span class="GINGER_SOFATWARE_mark" id="40ddbed5-7519-45e6-a92f-6a0e85d15410"><span class="GINGER_SOFATWARE_mark" id="c034766e-e1e8-435c-bd9e-986c51af5783"><span class="GINGER_SOFATWARE_mark" id="757c69bb-53d5-4d17-bd2e-4d91df1a9ae4"><span class="GINGER_SOFATWARE_mark" id="2c518f44-a6ae-4566-a2f3-34173dd3ffb9"><span class="GINGER_SOFATWARE_mark" id="fd4a2747-f435-4543-8e3e-dc4495f77c8e"><span class="GINGER_SOFATWARE_mark" id="35e67d59-e407-499f-a6fa-32efbffaedbe">time</span></span></span></span></span></span><br/>Strap style: Black leather strap, has an adjustable tang closure and loops to hold the strap in place<br/>Water resistance up to 50 m<br/>Warranty:  2 <span class="GINGER_SOFATWARE_mark" id="2a17fc7f-6612-483a-aac0-054b52fc6c96"><span class="GINGER_SOFATWARE_mark" id="9f4cc3e8-58a0-4c00-b046-6e79f4a1ae61"><span class="GINGER_SOFATWARE_mark" id="bbee7584-dbd5-43ed-b99e-76ba99e217ff"><span class="GINGER_SOFATWARE_mark" id="4230bffc-706c-42c3-bdaa-7fc367d5612e"><span class="GINGER_SOFATWARE_mark" id="c4389d87-d00b-4625-90d4-4cb46c94426e">years</span></span></span></span></span> warranty on mechanism only (1 year on battery), 1 year on metal strap (manufacturing defects only)</p><p> </p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p><span class="GingerNoCheckStart"> </span>Dial dimensions: 35 mm x 45 mm<br/>Strap width: 24 mm</p><p> </p></li></ul>,25:02:2014,None
None,Fastrack Men Black Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/213127/buy,Rs. 2,995,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Black-Dial-Watch_3129ea7b5a4a1fd07d9c1935d6199125_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/213127/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A fashion accessory that comes with great performance and style is this watch from Fastrack. Team it with your casuals and semi-formals to spruce up your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch, silver toned, stylised rectangular case, has stainless steel back<br/>Dial style: Black, textured dial with blue accents, has white markings, steel toned minute and hour hands, purple seconds hand, has branding at the six and twelve hour mark<br/>Features: Screw to reset the time<br/>Strap style: Silver toned bracelet style strap, has a fold over clasp<br/>Water resistant up to 50 m<br/>Comes in a signature Fastrack case<br/>Warranty: 2 year warranty on mechanism only, 1 year warranty on battery  and metal strap (manufacturing defects only), 6 months warranty on Tees  watches (manufacturing defects only), No warranty on leather and other  straps</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial dimensions: 50 mm x 40 mm<br/>Strap width: 24 mm</p></li></ul>,25:02:2014,None
None,Fastrack Men Black Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/101467/buy,Rs. 3,195,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Watches_f068421039e86e2fe795eed4116bfca3_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-Dial-Watch/101467/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Crafted in a cool menswear-inspired shape, Fastrack's stainless steel watch has been an ever-chic timepiece. We love the classic look borrowed from the boy's appeal. Wear it solo to add a touch of the label's inimitable androgyny trend to every look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Style Description</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 40 mm<br/>Strap width: 22 mm</p></li></ul>,25:02:2014,None
None,Fastrack Men Black & Gunmetal Toned Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-&-Gunmetal-Toned-Dial-Watch/213171/buy,Rs. 1,895,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Black-&-Gunmetal-Toned-Dial-Watch_e4af16da46e57f4166d2aa7b09bc712e_images_1080_1440_mini.JPG,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Black-&-Gunmetal-Toned-Dial-Watch/213171/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A fashion accessory that comes with great performance and style is this watch from Fastrack. Team it with your casuals and semi-formals to spruce up your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with circular case and stainless steel back, has a fixed bezel with markings<br/>Dial style: Black and gunmetal toned, textured dial with silver toned markings, steel toned minute and hour hands, black seconds hand, has branding at the 6 hour and 1 hour mark<br/>Features: Screw to reset the time<br/>Strap style: Black, textured, leather strap, has a tang clasp<br/>Water resistant up to 50 m<br/>Comes in a signature Fastrack case<br/>Warranty: 2 year warranty on mechanism only, 1 year warranty on battery   and metal strap (manufacturing defects only), 6 months warranty on Tees   watches (manufacturing defects only), No warranty on leather and other   straps</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 45 mm<br/>Strap width: 24 mm</p></li></ul>,25:02:2014,None
None,Fastrack Men Brown Dial Watch,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Brown-Dial-Watch/154865/buy,Rs. 1,295,men-accessories-new-arrivals,Accessories,Fastrack,http://myntra.myntassets.com/images/style/properties/Fastrack-Men-Brown-Dial-Watch_4367c27965f2eaf6444ec3cd40d7b914_images_1080_1440_mini.jpg,None,None,men,http://www.myntra.com/Watches/Fastrack/Fastrack-Men-Brown-Dial-Watch/154865/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This watch from Fastrack is a fashion accessory that comes with a simple design and classic style. Team this timepiece with your casual outfit for a stylish cool look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Case style: Analogue watch with brown circular case, has a fixed bezel with markings and stainless steel back<br/>Dial style: Brown dial, has black markings with white inlay, white hour and minute hands with cut-out detail, black and white seconds hand, branding at the 12 hour mark<br/>Features: Screw to reset the time<br/>Strap style: Black textured silicone strap, secured by a tang clasp and loop<br/>Water resistant up to 50 m<br/>Comes in a signature Fastrack case<br/>Warranty: 2 years from the date of purchase against manufacturing defects</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Dial width: 51 mm<br/>Strap width: 25 mm</p></li></ul>,25:02:2014,None
