None,Reebok Men Pack of 3 Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-Pack-of-3-Socks/154770/buy,Rs. 419,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Pack-of-3-Socks_f8a5cd11a9d24ee0290f852c4a250a62_images_1080_1440_mini.jpg,Rs. 599,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-Pack-of-3-Socks/154770/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft and comfy, this set of socks from Reebok will keep your feet in cushioned bliss all day. This is definitely a great buy!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pack of three socks in black, above the ankle length, elasticated and ribbed cuffs, has branding on the cuffs, three dimensional shaped heel and toe for a good fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton and <span class="GINGER_SOFATWARE_mark" id="643cf1b9-c26b-492f-86a0-383c737a7c18">elastane</span><br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Men Grey Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-Grey-Socks/162918/buy,Rs. 179,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Socks_d0377595d827be18c12c8ef5f213ae35_images_1080_1440_mini.jpg,Rs. 299,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-Grey-Socks/162918/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft, comfy socks from Reebok to keep your feet in cushioned bliss all day. This is definitely a great buy.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey socks, above the ankle length, with elasticated and ribbed cuffs, has branding on the cuffs, three dimensional shaped heel and toe for a good fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton, nylon and elastane<br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Men Blue Microfibre Cap,http://www.myntra.com/Caps/Reebok/Reebok-Men-Blue-Microfibre-Cap/172420/buy,Rs. 559,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Blue-Microfibre-Cap_ecf830b5f906e1d82ab5d5edd37a038a_images_1080_1440_mini.jpg,Rs. 799,None,men,http://www.myntra.com/Caps/Reebok/Reebok-Men-Blue-Microfibre-Cap/172420/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Some wear it to look cool, others think that they are being fashionable by referencing a sport inspired look. Few wear it just for the shade, but those who wear Reebok caps - wear it for all of the above.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue cap with a curved visor that has stitched detail, branding at the front, panel and stitched detail on the crown, adjustable Velcro strap at the back for a customised fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Hand wash</p></li></ul>,25:02:2014,None
None,Reebok Men White Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-White-Socks/154767/buy,Rs. 179,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-White-Socks_bb357163e2db7769d7c0950adc2de153_images_1080_1440_mini.jpg,Rs. 299,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-White-Socks/154767/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft, comfy socks from Reebok to keep your feet in cushioned bliss all day. This is definitely a great buy.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Above the ankle length, white socks with elasticated and ribbed cuffs, has branding on the cuffs, three dimensional shaped heel and toe for a good fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton and <span class="GINGER_SOFATWARE_mark" id="643cf1b9-c26b-492f-86a0-383c737a7c18">elastane</span><br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Men Black Set of 2 Wristbands,http://www.myntra.com/Wristbands/Reebok/Reebok-Men-Black-Set-of-2-Wristbands/163024/buy,Rs. 254,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Wristbands_95ce5cdb600d731269808c06cfdbbc34_images_1080_1440_mini.jpg,Rs. 299,None,men,http://www.myntra.com/Wristbands/Reebok/Reebok-Men-Black-Set-of-2-Wristbands/163024/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This soft wristband from Reebok is for the adrenaline junkies who thrive  on high performance. Crafted to suit your needs, with a fabric that's  sweat-absorbent, this piece shows off a sporty style that's so you.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of two wristbands in black with red accents and embroidered branding</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% cotton, 8% nylon 12%, elastane<br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Unisex Red C One L Backpack,http://www.myntra.com/Backpacks/Reebok/Reebok-Unisex-Red-C-One-L-Backpack/217557/buy,Rs. 2,429,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Unisex-Backpacks_1c9132feaf606da9fa55d8803fa514d0_images_1080_1440_mini.jpg,Rs. 2,699,None,men,http://www.myntra.com/Backpacks/Reebok/Reebok-Unisex-Red-C-One-L-Backpack/217557/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Reebok presents this trendy backpack to spruce up your sports wardrobe and is comfortable enough to carry around all day long. Its spacious compartments help you store your essentials conveniently.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red backpack with white accents, has panelled and stitched detail, branding on the front<br/>One non-padded haul loop at the top and two lightly padded, adjustable shoulder straps with mesh panel<br/>One main zipped compartment with a padded laptop sleeve and a zipped pocket<br/>An external zipped pocket at the front with a slip pocket inside<br/>Padded back with mesh panel<br/>Warranty: 3 months from the date of purchase against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 38 cm<br/> Width: 29 cm<br/>Depth: 15 cm<br/>Laptop compartment can hold up to 15 inch laptop</p></li></ul>,25:02:2014,None
None,Reebok Unisex Black Tennis Wristband,http://www.myntra.com/Wristbands/Reebok/Reebok-Unisex-Black-Tennis-Wristband/163023/buy,Rs. 199,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Unisex-Black-Tennis-Wristband_7a1b07c0c19b09fdeb2a9084b5ae868b_images_1080_1440.jpg,Rs. 249,None,men,http://www.myntra.com/Wristbands/Reebok/Reebok-Unisex-Black-Tennis-Wristband/163023/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Comfortable and durable, this wristband from Reebok is specially designed to provide great performance on the field. Use this with a headband and unleash the sport junkie within you.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black tennis wristband with white embroidered detail<br/>Made of plush terry which absorbs moisture<br/>Conveniently elasticated to sit snug around the wrists</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>80% cotton, 12% elastane half terry, 8% nylon<br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Unisex Black C One L Backpack,http://www.myntra.com/Backpacks/Reebok/Reebok-Unisex-Black-C-One-L-Backpack/217558/buy,Rs. 2,429,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Unisex-Backpacks_4342f29aae405e1b76d5fddc598072e3_images_1080_1440_mini.jpg,Rs. 2,699,None,men,http://www.myntra.com/Backpacks/Reebok/Reebok-Unisex-Black-C-One-L-Backpack/217558/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Reebok presents this trendy backpack to spruce up your sports wardrobe and is comfortable enough to carry around all day long. Its spacious compartments help you store your essentials conveniently.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black backpack with panelled and stitched detail, branding on the front<br/>One non-padded haul loop at the top and two lightly padded, adjustable shoulder straps with mesh panel<br/>One main zipped compartment with a padded laptop sleeve and a zipped pocket<br/>An external zipped pocket at the front with a slip pocket inside<br/>Padded back with mesh panel<br/>Warranty: 3 months from the date of purchase against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 38 cm<br/> Width: 29 cm<br/>Depth: 15 cm<br/>Laptop compartment can hold up to 15 inch laptop</p></li></ul>,25:02:2014,None
None,Reebok Men Blue Perf Train Cap,http://www.myntra.com/Caps/Reebok/Reebok-Men-Blue-Perf-Train-Cap/165605/buy,Rs. 899,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Caps_ed284f234ee6ba49fc4cce46afd3655e_images_1080_1440_mini.jpg,Rs. 999,None,men,http://www.myntra.com/Caps/Reebok/Reebok-Men-Blue-Perf-Train-Cap/165605/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Some wear it to look cool, others think that they are being fashionable by referencing a sport inspired look. Few wear it just for the shade, but those who wear Reebok caps - wear it for all of the above.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue cap with a curved visor that has stitched detail, branding on the front, mesh panel and stitched detail on the crown, adjustable Velcro strap at the back for a customised fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Hand wash</p></li></ul>,25:02:2014,None
None,Reebok Men Blue & Yellow Core Cap,http://www.myntra.com/Caps/Reebok/Reebok-Men-Blue-&-Yellow-Core-Cap/181239/buy,Rs. 509,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Caps_95659c52d22f4ca5f4d2bdc9105d7dad_images_1080_1440_mini.jpg,Rs. 599,None,men,http://www.myntra.com/Caps/Reebok/Reebok-Men-Blue-&-Yellow-Core-Cap/181239/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Some wear it to look cool, others think that they are being fashionable by referencing a sport inspired look. Few wear it just for the shade, but those who wear Reebok caps - wear it for all of the above.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue cap with yellow and grey accents, has a curved visor with stitched detail and taping, branding at the front, panelling on the crown and adjustable backstrap for a customised fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Hand wash</p></li></ul>,25:02:2014,None
None,Reebok Men Black & Red Core Cap,http://www.myntra.com/Caps/Reebok/Reebok-Men-Black-&-Red-Core-Cap/181240/buy,Rs. 509,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Caps_0a8c882713e59188bd889171bf898c61_images_1080_1440_mini.jpg,Rs. 599,None,men,http://www.myntra.com/Caps/Reebok/Reebok-Men-Black-&-Red-Core-Cap/181240/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Some wear it to look cool, others think that they are being fashionable by referencing a sport inspired look. Few wear it just for the shade, but those who wear Reebok caps - wear it for all of the above.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black cap with red and grey accents, has a curved visor with stitched detail and taping, branding at the front, panelling on the crown, and adjustable backstrap for a customised fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Hand wash</p></li></ul>,25:02:2014,None
None,Reebok Men Pack of 3 Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-Pack-of-3-Socks/154770/buy,Rs. 419,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Pack-of-3-Socks_f8a5cd11a9d24ee0290f852c4a250a62_images_1080_1440_mini.jpg,Rs. 599,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-Pack-of-3-Socks/154770/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft and comfy, this set of socks from Reebok will keep your feet in cushioned bliss all day. This is definitely a great buy!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pack of three socks in black, above the ankle length, elasticated and ribbed cuffs, has branding on the cuffs, three dimensional shaped heel and toe for a good fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton and <span class="GINGER_SOFATWARE_mark" id="643cf1b9-c26b-492f-86a0-383c737a7c18">elastane</span><br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Men White Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-White-Socks/154767/buy,Rs. 179,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-White-Socks_bb357163e2db7769d7c0950adc2de153_images_1080_1440_mini.jpg,Rs. 299,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-White-Socks/154767/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft, comfy socks from Reebok to keep your feet in cushioned bliss all day. This is definitely a great buy.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Above the ankle length, white socks with elasticated and ribbed cuffs, has branding on the cuffs, three dimensional shaped heel and toe for a good fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton and <span class="GINGER_SOFATWARE_mark" id="643cf1b9-c26b-492f-86a0-383c737a7c18">elastane</span><br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Men Blue Microfibre Cap,http://www.myntra.com/Caps/Reebok/Reebok-Men-Blue-Microfibre-Cap/172420/buy,Rs. 559,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Blue-Microfibre-Cap_ecf830b5f906e1d82ab5d5edd37a038a_images_1080_1440_mini.jpg,Rs. 799,None,men,http://www.myntra.com/Caps/Reebok/Reebok-Men-Blue-Microfibre-Cap/172420/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Some wear it to look cool, others think that they are being fashionable by referencing a sport inspired look. Few wear it just for the shade, but those who wear Reebok caps - wear it for all of the above.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue cap with a curved visor that has stitched detail, branding at the front, panel and stitched detail on the crown, adjustable Velcro strap at the back for a customised fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Hand wash</p></li></ul>,25:02:2014,None
None,Reebok Unisex Red C One L Backpack,http://www.myntra.com/Backpacks/Reebok/Reebok-Unisex-Red-C-One-L-Backpack/217557/buy,Rs. 2,429,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Unisex-Backpacks_1c9132feaf606da9fa55d8803fa514d0_images_1080_1440_mini.jpg,Rs. 2,699,None,men,http://www.myntra.com/Backpacks/Reebok/Reebok-Unisex-Red-C-One-L-Backpack/217557/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Reebok presents this trendy backpack to spruce up your sports wardrobe and is comfortable enough to carry around all day long. Its spacious compartments help you store your essentials conveniently.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Red backpack with white accents, has panelled and stitched detail, branding on the front<br/>One non-padded haul loop at the top and two lightly padded, adjustable shoulder straps with mesh panel<br/>One main zipped compartment with a padded laptop sleeve and a zipped pocket<br/>An external zipped pocket at the front with a slip pocket inside<br/>Padded back with mesh panel<br/>Warranty: 3 months from the date of purchase against manufacturing defects only</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 38 cm<br/> Width: 29 cm<br/>Depth: 15 cm<br/>Laptop compartment can hold up to 15 inch laptop</p></li></ul>,25:02:2014,None
None,Reebok Men Pack of 3 Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-Pack-of-3-Socks/154771/buy,Rs. 509,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Pack-of-3-Socks_bb1d7076021ad5b5caa0947699b7240b_images_1080_1440_mini.jpg,Rs. 599,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-Pack-of-3-Socks/154771/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft and comfy, this set of socks from Reebok will keep your feet in cushioned bliss all day. This is definitely a great buy!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pack of three socks in black, white and grey accents, above the ankle length, elasticated and ribbed cuffs, has branding on the cuffs, three dimensional shaped heel and toe for a good fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton and <span class="GINGER_SOFATWARE_mark" id="643cf1b9-c26b-492f-86a0-383c737a7c18">elastane</span><br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Unisex Black C One Backpack,http://www.myntra.com/Backpacks/Reebok/Reebok-Unisex-Black-C-One-Backpack/217556/buy,Rs. 2,159,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Unisex-Backpacks_45e126b5d3ba8754df8f7a216d2a1383_images_1080_1440_mini.jpg,Rs. 2,399,None,men,http://www.myntra.com/Backpacks/Reebok/Reebok-Unisex-Black-C-One-Backpack/217556/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Fun, style and comfort are the highlights of this Reebok backpack. Carry it to college, office, or a casual day out with your friends and look super cool.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black backpack with branding at front<br/>Two mesh and padded shoulder straps which can be adjusted, with branding on one of them, has a haul loop on top for carrying ease<br/>One main zipped compartment with a sleeve pocket that has an elasticated rim, and a slip pocket on it<br/>Has a zipped pocket at the front<br/>Comes with a padded and mesh back<br/><span style="font-size: 13px; font-family: arial, sans, sans-serif;">Warranty: 3 months against manufacturing defects</span> </p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Wipe with a clean, damp cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 45.5 cm<br/>Width: 35.5 cm<br/>Depth: 10.3 cm</p></li></ul>,25:02:2014,None
None,Reebok Men Grey Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-Grey-Socks/162918/buy,Rs. 179,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Socks_d0377595d827be18c12c8ef5f213ae35_images_1080_1440_mini.jpg,Rs. 299,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-Grey-Socks/162918/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft, comfy socks from Reebok to keep your feet in cushioned bliss all day. This is definitely a great buy.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Grey socks, above the ankle length, with elasticated and ribbed cuffs, has branding on the cuffs, three dimensional shaped heel and toe for a good fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton, nylon and elastane<br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Men Black Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-Black-Socks/154768/buy,Rs. 269,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Black-Socks_19653613a52863006fcd3d6bd58e9660_images_1080_1440_mini.jpg,Rs. 299,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-Black-Socks/154768/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft, comfy socks from Reebok to keep your feet in cushioned bliss all day. This is definitely a great buy.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Above the ankle length, black socks with elasticated and ribbed cuffs, has branding on the cuffs, three dimensional shaped heel and toe for a good fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton and <span class="GINGER_SOFATWARE_mark" id="643cf1b9-c26b-492f-86a0-383c737a7c18">elastane</span><br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Men Pack of 3 Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-Pack-of-3-Socks/154769/buy,Rs. 419,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Pack-of-3-Socks_f23b6be69bbf777886779bc63cefe64a_images_1080_1440_mini.jpg,Rs. 599,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-Pack-of-3-Socks/154769/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft and comfy, this set of socks from Reebok will keep your feet in cushioned bliss all day. This is definitely a great buy!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pack of three socks in white, above the ankle length, elasticated and ribbed cuffs, has branding on the cuffs, three dimensional shaped heel and toe for a good fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton and <span class="GINGER_SOFATWARE_mark" id="643cf1b9-c26b-492f-86a0-383c737a7c18">elastane</span><br/>Machine wash warm</p></li></ul>,25:02:2014,None
None,Reebok Men Black Perf Train Cap,http://www.myntra.com/Caps/Reebok/Reebok-Men-Black-Perf-Train-Cap/165608/buy,Rs. 899,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Caps_fea1a68b2f3bc0998371fedc43c1554d_images_1080_1440_mini.jpg,Rs. 999,None,men,http://www.myntra.com/Caps/Reebok/Reebok-Men-Black-Perf-Train-Cap/165608/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Some wear it to look cool, others think that they are being fashionable by referencing a sport inspired look. Few wear it just for the shade, but those who wear Reebok caps - wear it for all of the above.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Black cap with a curved visor that has stitched detail, branding on the front, mesh panel and stitched detail on the crown, adjustable Velcro strap at the back for a customised fit</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyester<br/>Hand wash</p></li></ul>,25:02:2014,None
None,Reebok Men Set Of 3 Socks,http://www.myntra.com/Socks/Reebok/Reebok-Men-Set-Of-3-Socks/162919/buy,Rs. 359,men-accessories-new-arrivals,Accessories,Reebok,http://myntra.myntassets.com/images/style/properties/Reebok-Men-Socks_a28273ec52e1450ccab81461b237e290_images_1080_1440_mini.jpg,Rs. 599,None,men,http://www.myntra.com/Socks/Reebok/Reebok-Men-Set-Of-3-Socks/162919/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Soft and comfy, this set of socks from Reebok will keep your feet in cushioned bliss all day. This is definitely a great buy!</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pack of three socks in white, above the ankle length, elasticated and ribbed cuffs, has branding on the cuffs</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Cotton, nylon and elastane<br/>Machine wash warm</p></li></ul>,25:02:2014,None
