None,Accessorize Girls Light Pink  Hairband,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Light-Pink--Hairband/205479/buy,Rs. 445,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Light-Pink-Hairband_0945ca1410fb7c9897893985b3487391_images_1080_1440_mini.JPG,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Light-Pink--Hairband/205479/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cute hairband from Accessorize is perfect for your little daughter. Team it with a frilly frock and ballet flats when she's heading out for a friend's party.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Light pink hairband with black accents<br/>Has heart shaped prints and a bow detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% polyester, 40% iron<br/>Wipe with a clean cloth to remove dirt</p></li></ul>,26:02:2014,None
None,Accessorize Girls Multi-Coloured Set of 30 Stick On Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings/209724/buy,Rs. 395,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings_763815dd3abd40f038d31a102ee8ef91_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Girls-Multi-Coloured-Set-of-30-Stick-On-Earrings/209724/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This set of stick on earrings from Accessorize is sure to make a mark. Completely fashion-forward, make your little princess wear this when heading out to play.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of 30 stick on earrings<br/>Multi-coloured earrings, with stick on detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Plastic<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Heart Stud Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Heart-Stud-Earrings/205445/buy,Rs. 345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Heart-Shaped-Stud-Earrings_64d9c7703f18ccd6c029763fb9ba839a_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Heart-Stud-Earrings/205445/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A pair of delicate earrings is the easiest way to jazz up any look. We suggest that you try doing your hair up and let this gorgeous piece from Accessorize become the centre of all attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned, heart shaped stud earrings<br/>Secured with a post and back closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>90% tin, 10% steel<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Gold Toned Drop Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Gold-Toned-Drop-Earrings/196519/buy,Rs. 284,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Gold-Toned-Drop-Earrings_c24d2fe11a01e43944b68f28f1cdff8f_images_1080_1440_mini.jpg,Rs. 945,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Gold-Toned-Drop-Earrings/196519/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>With this chic pair of drop earrings by Accessorize, we're sure you'll impress the most critical fashionistas. Wear yours with your hair swept back to show them off to maximum effect.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Gold toned, drop earrings, tear drop shaped dangler with texturing along bottom<br/>Secured with a fish hook closure and rubber stopper</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>98% brass, 2% plastic<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 5 cm</p></li></ul>,26:02:2014,None
None,Accessorize Women Brown & Black Handbag,http://www.myntra.com/Handbags/Accessorize/Accessorize-Women-Brown-&-Black-Handbag/209716/buy,Rs. 4,345,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Brown-&-Black-Tote-Bag_6e8bb9892088a9b60cb16490e55b7537_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Handbags/Accessorize/Accessorize-Women-Brown-&-Black-Handbag/209716/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>If your looking for bright options to colour pop, this handbag from Accessorize is the perfect choice. A practical and trendy piece with extra roomy space for all your essentials, it will add the right amount of style to your outfit.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Brown and black, textured handbag with stitched and overlay detail<br/>Two short handles with buckle detail at the sides, a long, detachable sling strap<br/>One main compartment with a magnetic buttoned closure<br/>Has an inner, detachable zipped pouch</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% polyurethane<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Height: 35 cm<br/>Width: 44 cm<br/>Depth: 15 cm<br/>Detachable pouch dimensions: 26 cm x 36 cm x 11 cm</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Drop Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Drop-Earrings/205451/buy,Rs. 445,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Drop-Earrings_edc51f1cdd875bb288613d4cd0f83269_images_1080_1440.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Silver-Toned-Drop-Earrings/205451/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Known for their inclination towards the stylish and trendy, Accessorize  presents these pretty earrings. You can pair them with casual or  indo-Western outfits.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Steel toned, circular drop earrings with textured and cut-out details<br/>Fish hook back with a rubber stopper</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% Steel<br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 4.5 cm</p></li></ul>,26:02:2014,None
None,Accessorize Set of 3 Studs,http://www.myntra.com/Earrings/Accessorize/Accessorize-Set-of-3-Studs/174442/buy,Rs. 164,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Set-of-3-Stud-Earrings_fc6f2d27992f8e770d73c8979a230e19_images_1080_1440_mini.jpg,Rs. 545,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Set-of-3-Studs/174442/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>These earrings from Accessorize are perfect for women who like to keep it stylish and simple. Wear them with your hair swept back, letting them elevate your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of three studs, skull shaped in neon green, pink and yellow<br/>Have post and back closures</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>50% plastic, 35% brass, 15% steel<br/>Wipe with a clean cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Pearly White Beaded Bracelet,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Pearly-White-Beaded-Bracelet/200927/buy,Rs. 1,145,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Beaded-Bracelet_85bdc617586291917c11f80c9bdb486e_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Pearly-White-Beaded-Bracelet/200927/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This bracelet from Accessorize is elegant and adorable. Wear it with a sheath dress for an evening do, to add a glamorous touch to your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pearly white beaded bracelet formed by a cluster of pearl-like beads strung on elasticated cords</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Acrylic<br/>Wipe with a clean cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Minimum diameter: 6 cm (adjustable)</p></li></ul>,26:02:2014,None
None,Accessorize Set of 9 Earrings,http://www.myntra.com/Earrings/Accessorize/Accessorize-Set-of-9-Earrings/205447/buy,Rs. 795,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Set-of-9-Earrings_6e804903156eae11005085fc56a0469f_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Earrings/Accessorize/Accessorize-Set-of-9-Earrings/205447/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>A pair of delicate earrings from Accessorize is the easiest way to jazz up any look. We  suggest that you try doing your hair up in a chic chignon and let this  gorgeous piece become the centre of all attention.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of nine earrings<br/>Three pairs of steel toned, spherical shaped earrings in varying sizes, three pairs of white stone studded earrings in varying sizes and three pairs of pearl-like bead earrings in varying sizes<br/>Secured with a post back closure and a rubber stopper</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>60% acrylic, 30% glass and 10% steel<br/>Wipe with a clean, cotton swab when needed</p></li></ul>,26:02:2014,None
None,Accessorize Silver Toned Necklace,http://www.myntra.com/Necklace/Accessorize/Accessorize-Silver-Toned-Necklace/196541/buy,Rs. 344,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Silver-Toned-Necklace_6d1027cda8d9be9979c6a55516355fda_images_1080_1440_mini.jpg,Rs. 1,145,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Silver-Toned-Necklace/196541/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This trend-setting neckpiece from Accessorize is sure to grab all attention. Let this statement piece take center stage by teaming it with a clean-cut tunic.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Silver toned interlinked chain necklace<br/>Secured with an adjustable lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>97% steel, 3% brass <br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length: 55 cm</p></li></ul>,26:02:2014,None
None,Accessorize Blue Bracelet,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Blue-Bracelet/188722/buy,Rs. 1,945,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Bracelet_eb4c9dc92a0b505923b7163698c1fe79_images_1080_1440.jpg,None,None,fashion,http://www.myntra.com/Bracelet/Accessorize/Accessorize-Blue-Bracelet/188722/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This bracelet from Accessorize is catchy and chic. Put it on with a sheath dress to add a glamorous touch to your look.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Blue and gold toned bracelet with faceted blue beads on a gold toned base, strung on an elasticated chord</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>70% zinc, 30% plastic <br/>Wipe with a clean, cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Minimum diameter: 5 cm</p></li></ul>,26:02:2014,None
None,Accessorize Girls Pink Hairband,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Pink-Hairband/205483/buy,Rs. 495,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Girls-Pink-Hairband_94e123b171ce92e3497c0a46963fcdf8_images_1080_1440_mini.JPG,None,None,fashion,http://www.myntra.com/Hair-Accessory/Accessorize/Accessorize-Girls-Pink-Hairband/205483/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This cute hairband from Accessorize is perfect for your little daughter. Team it with a frilly frock and ballet flats when she's heading out for a friend's party.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Light pink hairband with pink accents<br/>Has butterfly prints and glitter detail</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>100% plastic<br/>Wipe with a clean cloth to remove dirt</p></li></ul>,26:02:2014,None
None,Accessorize Set of 3 Necklaces,http://www.myntra.com/Necklace/Accessorize/Accessorize-Set-of-3-Necklaces/147866/buy,Rs. 1,045,fashion-sale,Extra 32% Off on 30,Accessorize,http://myntra.myntassets.com/images/style/properties/Accessorize-Women-Necklace_c546c7bc679fd430988aad962df991f8_images_1080_1440_mini.jpg,None,None,fashion,http://www.myntra.com/Necklace/Accessorize/Accessorize-Set-of-3-Necklaces/147866/buy,Sold byVector Ecommerce Pvt Ltd,None,None,single size,None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This fun and chic creation from Accessorize is sure to catch every   passing eye. You  can  wear it with most casual outfits.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Set of three, gold toned necklaces with a central pendant shaped like a heart with paw print, dog bone and dog face<br/>Secured with a lobster clasp closure</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Zinc, brass, steel <br/>Wipe with a clean, dry cotton swab when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Length of chain: 46 cm</p></li></ul>,26:02:2014,None
